team,link
{'Boston Celtics,'https://espn.com/nba/teams/roster?team=Bos'  },
{'Brooklyn Nets,'https://espn.com/nba/teams/roster?team=BKN'  },
{'New York Knicks,'https://espn.com/nba/teams/roster?team=NY'   },
{'Philadelphia 76ers,'https://espn.com/nba/teams/roster?team=Phi'  },
{'Toronto Raptors,'https://espn.com/nba/teams/roster?team=Tor'  },
{'Golden State Warriors,'https://espn.com/nba/teams/roster?team=GS'   },
{'Los Angeles Clippers,'https://espn.com/nba/teams/roster?team=LAC'  },
{'Los Angeles Lakers,'https://espn.com/nba/teams/roster?team=LAL'  },
{'Phoenix Suns,'https://espn.com/nba/teams/roster?team=PHX'  },
{'Sacramento Kings,'https://espn.com/nba/teams/roster?team=Sac'  },
{'Chicago Bulls,'https://espn.com/nba/teams/roster?team=Chi'  },
{'Cleveland Cavaliers,'https://espn.com/nba/teams/roster?team=Cle'  },
{'Detroit Pistons,'https://espn.com/nba/teams/roster?team=Det'  },
{'Indiana Pacers,'https://espn.com/nba/teams/roster?team=Ind'  },
{'Milwaukee Bucks,'https://espn.com/nba/teams/roster?team=Mil'  },
{'Dallas Mavericks,'https://espn.com/nba/teams/roster?team=Dal'  },
{'Houston Rockets,'https://espn.com/nba/teams/roster?team=Hou'  },
{'Memphis Grizzlies,'https://espn.com/nba/teams/roster?team=Mem'  },
{'New Orleans Pelicans,'https://espn.com/nba/teams/roster?team=NO'   },
{'San Antonio Spurs,'https://espn.com/nba/teams/roster?team=SA'   },
{'Atlanta Hawks,'https://espn.com/nba/teams/roster?team=Atl'  },
{'Charlotte Hornets,'https://espn.com/nba/teams/roster?team=Cha'  },
{'Miami Heat,'https://espn.com/nba/teams/roster?team=Mia'  },
{'Orlando Magic,'https://espn.com/nba/teams/roster?team=Orl'  },
{'Washington Wizards,'https://espn.com/nba/teams/roster?team=WSH'  },
{'Denver Nuggets,'https://espn.com/nba/teams/roster?team=Den'  },
{'Minnesota Timberwolves,'https://espn.com/nba/teams/roster?team=Min'  },
{'Oklahoma City Thunder,'https://espn.com/nba/teams/roster?team=Okc'  },
{'Portland Trail Blazers,'https://espn.com/nba/teams/roster?team=Por'  },
{'Utah Jazz,'https://espn.com/nba/teams/roster?team=UTAH' },